,tweets,Useful  Complains/Not Useful Complains,Useful/Useless,text_length,id,likes,retweets,source,url,created_at,image_url,author_name,author_screen_name,geo,location,hashtags,,,,,,,complaints,useful
11,"@claireperrymp is it time the government looks into failed cavity insulation, CIGA â€˜s total disregard for customersâ€¦ https://t.co/fUo47uxQ7p",1,1,140,1144380000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 22:55,http://pbs.twimg.com/profile_images/686231248163991552/g0VVoRNl_normal.jpg,Cavity Extraction,CExtraction,,"North West, England",[],,,,,,,,
12,RT @LOVE_RAMSGATE: @Laura_Sandys @claireperrymp seriously this is a joke @Laura_Sandys you and @cmackinlay and @SirRogerGaleMP have all supâ€¦,0,1,140,1144370000000000000,0.00E+00,3,Twitter Web App,https://mobile.twitter.com,27/06/19 22:19,http://pbs.twimg.com/profile_images/378800000592328143/31c2acacf56353bead740a229aacf7e3_normal.jpeg,Slug,Slugslime2,,"Ramsgate, Kent",[],,,,,,,,
13,RT @Laura_Sandys: And to your amazing leadership @claireperrymp You have led from the start and from the front. Congratulations. https:â€¦,0,0,140,1144370000000000000,0.00E+00,2.00E+00,Twitter Web App,https://mobile.twitter.com,27/06/19 22:19,http://pbs.twimg.com/profile_images/378800000592328143/31c2acacf56353bead740a229aacf7e3_normal.jpeg,Slug,Slugslime2,,"Ramsgate, Kent",[],,,,,,,,
14,RT @laurafearnfield: @BarristerSecret @claireperrymp will you sign up for this? I've already had to leave the criminal bar because of thisâ€¦,0,1,139,1144360000000000000,0.00E+00,2,Twitter for Android,http://twitter.com/download/android,27/06/19 21:44,http://pbs.twimg.com/profile_images/1069633185624002562/8d3l8vm8_normal.jpg,Laura Fearnfield,laurafearnfield,,London,[],,,,,,,,
16,@beisgovuk @CSkidmoreUK @claireperrymp surely nuclear must play a part in your plan if we are to achieve this? Ourâ€¦ https://t.co/2jtTXcbIcS,0,1,139,1144350000000000000,1.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 21:20,http://pbs.twimg.com/profile_images/378800000052550167/f001ceb8448a53b32504a8bb59491907_normal.jpeg,Alice Allison,tortallison,,Wiltshire,[],,,,,,,,
17,@claireperrymp @theresa_may Are you going to get me a electric car at 30k that can do 300 miles on one charge? Cloud cuckoo land.,0,0,129,1144350000000000000,0.00E+00,0,Twitter for Android,http://twitter.com/download/android,27/06/19 21:19,http://pbs.twimg.com/profile_images/1002839564489240576/FLrprvVv_normal.jpg,Gary,Gary9737,,"Bath, England",[],,,,,,,,
18,RT @LOVE_RAMSGATE: @Laura_Sandys @claireperrymp seriously this is a joke @Laura_Sandys you and @cmackinlay and @SirRogerGaleMP have all supâ€¦,0,0,140,1144350000000000000,0.00E+00,3,Twitter Web Client,http://twitter.com,27/06/19 21:06,http://pbs.twimg.com/profile_images/1025324660316102656/R7Q_11nO_normal.jpg,MancubMusic original,mancubmusic,,Sombrero Galaxy,[],,,,,,,,
20,@claireperrymp @theresa_may It will all get cancelled soon enough. We don't want that money wasted on trying to change the fucking weather.,0,0,139,1144350000000000000,0.00E+00,0,Twitter for Android,http://twitter.com/download/android,27/06/19 20:43,http://pbs.twimg.com/profile_images/1143488621330259968/xtoIz3pV_normal.jpg,Boris's crate bus,Rightofright4,,,[],,,,,,,,
23,RT @Laura_Sandys: And to your amazing leadership @claireperrymp You have led from the start and from the front. Congratulations. https:â€¦,0,0,140,1144330000000000000,0.00E+00,2,Twitter for Android,http://twitter.com/download/android,27/06/19 19:35,http://pbs.twimg.com/profile_images/523283932583034880/O99NBW7k_normal.jpeg,Niall,Niallmacdowell,,"London, UK",[],,,,,,,,
24,@claireperrymp @theresa_may @claireperrymp do you realise how pathetic and stupid you really are congratulating Theâ€¦ https://t.co/5itUgswbKJ,0,0,140,1144310000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 18:30,http://pbs.twimg.com/profile_images/1089443140744957952/QhLcvZkz_normal.jpg,mark,baggieboymark,,park road,[],,,,,,,,
25,@claireperrymp Your government is a disgrace https://t.co/58XVND3wfg,1,1,68,1144310000000000000,0.00E+00,0,Twitter for iPad,http://twitter.com/#!/download/ipad,27/06/19 18:26,http://pbs.twimg.com/profile_images/1136886019113050112/Y3lbRjNS_normal.jpg,Chris Heavens,chris_heavens,,,[],,,,,,,,
27,How is increasing tax on renewable energy sources (solar panels) supporting this “unprecedented action”? Doesn’t add up!!!!¦ https://t.co/Ry646QxRvv,1,1,140,1144300000000000000,1.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 18:01,http://pbs.twimg.com/profile_images/1040544739001593856/eovma3sZ_normal.jpg,Matt Brocklesby,brocklesby_matt,,,[],,,,,,,,
28,"RT @steviedubyu: Important thread on UK climate leadership and claims about ending the UK's contribution to climate change. 
 
 Will the publâ€¦",0,1,140,1144300000000000000,0.00E+00,5.00E+00,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 17:58,http://pbs.twimg.com/profile_images/983944992/image_normal.jpg,James Ryle,jamesryle,,Bristol,[],,,,,,,,
29,"Important thread on UK climate leadership and claims about ending the UK's contribution to climate change. 
 
 Will tâ€¦ https://t.co/RP8pzpmAhe",0,1,140,1144300000000000000,4.00E+00,5,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 17:56,http://pbs.twimg.com/profile_images/669071388788027392/ozr0ly_k_normal.jpg,Steve Westlake,steviedubyu,,"Cardiff, UK",[],,,,,,,,
30,Are some ‘low carbon’ heat network customers heating their cupboards to help the UK achieve its alleged Carbon Reduction targets? @guardianeco @claireperrymp¦ https://t.co/o2HEf1MhVK,1,1,140,1144300000000000000,0.00E+00,0.00E+00,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 17:51,http://pbs.twimg.com/profile_images/938105255065157632/Ds5Bib6d_normal.jpg,District Heating,Districtheating,,UK,[],,,,,,,,
31,@claireperrymp @MarkFieldUK I weep for you,0,,42,1144300000000000000,0.00E+00,0.00E+00,Twitter for iPad,http://twitter.com/#!/download/ipad,27/06/19 17:51,http://pbs.twimg.com/profile_images/1058097183650709505/DUtqB1ii_normal.jpg,FrancisEgit,EgitFrancis,,"St Francis Towers, Lytham",[],,,,,,,,
33,"
Bloody joke. Can’t believe you lot. Thank Christ your party is going to change and hopefully you won’t be part of it.â€¦ https://t.co/yiBRkQ3v9a",0,0,140,1144300000000000000,0.00E+00,0,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 17:24,http://pbs.twimg.com/profile_images/1292135709/image_normal.jpg,CBR 6 Slider,cbr6slider,,,[],,,,,,,,
34,"Has this net zero law been costed? What is the structure for implementing the law? What is the predicted loss to business? How much will it cost the UK taxpayers? What percentage of carbon omissions do the UK produce compared to China, India, USA & Russia?",0,1,140,1144300000000000000,0.00E+00,0.00E+00,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 17:23,http://pbs.twimg.com/profile_images/1292135709/image_normal.jpg,CBR 6 Slider,cbr6slider,,,[],,,,,,,,
36,"RT @JohnP_Connected: @claireperrymp @theresa_may But just think @claireperrymp , how much more you could have done by banning #Fracking &amp; bâ€¦",0,1,144,1144290000000000000,0.00E+00,1,Twitter Web Client,http://twitter.com,27/06/19 17:00,http://pbs.twimg.com/profile_images/1099033148866863107/tdA0IAKC_normal.png,Crazy Goose,Threetreetops,,,"[{'text': 'Fracking', 'indices': [126, 135]}]",,,,,,,,
37,You can do more @claireperrymp @theresa_may @Jeremy_Hunt We don't want drilling for fossil fuels in our villages or anywhere. You cannot prove it's safe so don't make us guinea pigs. Simply cannot believe there is no environmental permit required for drilling in Dunsfold?,1,1,140,1144290000000000000,2.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 17:00,http://pbs.twimg.com/profile_images/1099033148866863107/tdA0IAKC_normal.png,Crazy Goose,Threetreetops,,,[],,,,,,,,
38,No but it takes time. I'm worried about the effect on supply and disruption. Plus I don't feel the need I  dont know how we will get a better deal than the EU gives us¦ https://t.co/8sXyuBw0F8,0,0,140,1144290000000000000,0.00E+00,0.00E+00,Twitter Web App,https://mobile.twitter.com,27/06/19 16:54,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
40,"@claireperrymp Anne Widdicombe not everyone's favourite for P.M., but she could just crack this contest.",0,0,104,1144290000000000000,0.00E+00,0,Twitter for Android,http://twitter.com/download/android,27/06/19 16:51,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Richard Hosking,RichardHosking3,,,[],,,,,,,,
43,@Conservatives once again voting for greed and graft over such minor things as saving the planet. @claireperrymp @michaelgove what a disgrace.¦ https://t.co/5Jzkr3puHj,1,1,137,1144260000000000000,1.00E+00,0,Twitter for Android,http://twitter.com/download/android,27/06/19 15:09,http://pbs.twimg.com/profile_images/801084080850870273/iESa0oVj_normal.jpg,Pete Sudbury,psud12,,"Woodcote, England",[],,,,,,,,
44,"
Exactly. The tariffs are set by the EU to protect the EU. Some are higher than they should be. What's wrong with renegotiating? Do you think we are a country of incompetents?¦ https://t.co/2qCSVfRQjv",1,1,140,1144260000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 15:02,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
45,OK this I know isn't true. A lot of tariffs for goods from outside the EU are determined by a tariff to supply us as part of the EU. We'd have to renegotiate new terms for many goods.¦ https://t.co/zeQmQhWYU7,0,0,140,1144240000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:39,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
46,Well yeah because one minute you say you dont like foreigners then you say you dont want free movement or unskilled workers coming. So presumably unskilled UK workers are fine?¦ https://t.co/qxIaUfrTrc,0,0,139,1144240000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:37,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
47,"@EnglebertTrump @Macaulich @IsThisAB0t @claireperrymp Well, I am informed actually, but that's neither here nor theâ€¦ https://t.co/PfJ1NIgHM1",0,0,140,1144240000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:34,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
48,"@EnglebertTrump @Macaulich @IsThisAB0t @claireperrymp Because ""free movement"" can be exploited as much as cheaper lâ€¦ https://t.co/e4vzKxKCnQ",0,0,140,1144240000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:31,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
49,Well its obviously cheaper to use the foreign worker than it is a student plus theyre there all year not just June to September. Knowing one lad got turned away doesn't make you informed. You pay less at supermarket because of foreigners.,0,1,140,1144240000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:29,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
50,Maybe but the problem is that its a huge risk with very little gain. I don't see how you will stop migrants coming. I dont see how we can't pay in. There's not been an argument I can see working out. We need all the benefits but dont want to pay up.,1,1,140,1144240000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:27,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
51,"We used to get British students to do that until Eastern European agencies provided staff for cheaper. The EU exploits unskilled workers. Yes, British students would still do the work. I know an English lad that was turned away because he was told ""he wouldn't like it.""",1,1,140,1144240000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:27,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
54,"We do need a TA. However, it isn't just us that needs on is it? The Germans are already worried about their car industry because the UK buys more from them a
than any other EU country. I'm not as pessimistic as others. things work out.",1,1,140,1144240000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:25,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
55,The EU is unaccountable yet dictates how much VAT we must pay - we can't drop below 15%. Yet it also wants to start setting everyone's tax allowances by 2025 which could be unfair on some countries. There are lots of reasons why the UK would be better off outside the EU.,1,1,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:23,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
56,It won't free up any money though. We need a trade agreement and also when it's worse for the economy (which the experts say it will be) it basically means less money not more. Its backward economic projections.,1,1,140,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:21,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
57,I don't like the way the EU Parliament operates. It's like ours but in reverse. Imagine the unelected Lords creating the laws and then MP's having to vote on them? Well that's how the EU operates. 6/several,1,1,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:21,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
58,"@SteveWickens1 @EnglebertTrump @Macaulich @IsThisAB0t @claireperrymp So what do you make of Mercosur, the USA or Châ€¦ https://t.co/MupzEgtRlD",0,0,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:21,http://pbs.twimg.com/profile_images/3722639107/d2a99808d0ad1ee7208738979890c444_normal.jpeg,Transfer Wire,transferdicky,,London,[],,,,,,,,
59,"I also like all European Countries to be celebrated for their differences, their culture, their identities. Morphing them all into one bloc is diminishing their individuality. The EU bullies countries like Greece where youth unemployment is high. 5/several",0,0,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:19,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
60,What about eastern Europeans coming over working the farms? Who are these skilled workers that we can't get? Where are they coming from?,0,0,140,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:19,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
61,"It would free up billions that could be re-invested into the more needy areas of our country rather than where the EU thinks is best, it also means that we can create freedom of movement schemes with commonwealth countries too - like Canada. 4/several",0,1,139,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:18,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
62,It makes silly laws such as banning us from altering clocks which could be to the detriment of businesses in places of the UK and Europe. Leaving would allow us to control our own tariffs on items that benefit us better. 3/several,1,1,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:16,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
63,The EU is racist and supremacist because it puts preferential treatment on a mainly white population. It is protectionist and sets tariffs at rates that may not be beneficial to a member state. 2/several,1,1,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:14,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
64,"Because it would allow us to be able to decide on what our own immigration laws should be, that isn't racist by the way. We are short of skilled workers because Freedom of movement allows unskilled workers to come here in droves. 1/several

",1,1,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 13:12,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
65,"leaders have the opportunity to help to create the net-zero carbon economies of the future where no one is left behind, communities thrive, and which are resilient to the unavoidable impacts of climate change",0,1,140,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:10,http://pbs.twimg.com/profile_images/875635548425134082/MVMVyw64_normal.jpg,We Mean Business,WMBtweets,,,"[{'text': 'G20', 'indices': [15, 19]}]",,,,,,,,
66,@SteveWickens1 @claireperrymp Definition of consider : think carefully about something. You can get considered then overruled.,0,0,126,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:09,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
67,Not trying to over turn it I just want to hear a reasonable explanation how it can possibly benefit the UK rather than harm us.,0,0,140,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:08,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
68,"Its synonymous with Britain though and we get access to North Sea oil. If you want to, then cut your nose to spite your face. But hey : At least you'll be out the EU. What about Scottish fishing? Its all very negative.",0,0,140,1144230000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 13:07,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
69,RT @Laura_Sandys: Totally wonderful. And a significant move forward that changes the ambition for the UK and sets the new gold standard gloâ€¦,0,0,140,1144230000000000000,0.00E+00,3,Twitter for iPhone,http://twitter.com/download/iphone,27/06/19 13:02,http://pbs.twimg.com/profile_images/3277417577/7d4c36b935a41fe0e777f8035af7d87a_normal.jpeg,Laurence Carpanini,lcarpanini,,,[],,,,,,,,
70,So why are Remainers trying to overturn the EU referendum? What margin would be acceptable for a YES win? 1% 10% 20%?,0,0,140,1144230000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:58,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
71,RT @SteveWickens1: @EnglebertTrump @claireperrymp It isn't being considered now is it? Everyone is running around trying to appease the remâ€¦,0,0,140,1144230000000000000,0.00E+00,1,BOGBOT,http://www.makeuseof.com/tag/how-to-build-a-raspberry-pi-twitter-bot/,27/06/19 12:54,http://pbs.twimg.com/profile_images/730861742729859073/IRqj9sru_normal.jpg,McBOT,IsThisAB0t,,Scotland,[],,,,,,,,
72,"It isn't being considered now is it? Everyone is running around trying to appease the remainers. Supposing Scotland had a Indyref and YES won, but then NO tried to overturn the result. Would that be acceptable?",0,1,140,1144230000000000000,0.00E+00,1,Twitter Web Client,http://twitter.com,27/06/19 12:52,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
73,"Actually, English people are pissed off for more reasons than Brexit. The unfair Barnet Formula for one start. The fact we have to pay for prescriptions another. Scots like to complain a lot, but they need to remember they get £1500 per head more than the English.",1,1,140,1144220000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:44,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
74,"You were talking about the number of people ""pissed off"" because of  brexit not happening (17 million), not the current population of the UK.  More inaccuracies from a paranoid Brexit voter¦ https://t.co/j5yl3msjkd",0,1,140,1144220000000000000,1.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:31,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
75,"@povertypay @claireperrymp @MarkFieldUK No tories knock on doors in Moss Side/Hulme,but if they did.......",0,0,106,1144220000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:31,http://pbs.twimg.com/profile_images/3470534400/275324b22f4e8f90cac54d0ced5fe58d_normal.jpeg,justapeasant,paupersgrave,,Babylon,[],,,,,,,,
76,"There might be a border in NI Steve, they will need to apply tarrifs to goods it's how the EU works. You can't nip across and buy your cheap petrol anymore. How will you police that?",0,1,140,1144220000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:25,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
77,I think it's a bit silly to say your opinion wasn't considered. It was a vote where you and 17 million people voted to leave. You don't know what you're saying. If that's not taking you into consideration I don't know what is.,0,0,140,1144220000000000000,0.00E+00,0,Twitter Web Client,http://twitter.com,27/06/19 12:23,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
78,@SteveWickens1 @claireperrymp OTT? I'm just asking you questions. You seem to be backtracking and don't answer me.,0,0,114,1144220000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 12:05,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
79,"@EnglebertTrump @claireperrymp Yes, I was being sarcastic due to your rather OTT reactionary tweets.",0,0,100,1144220000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 12:04,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
80,"
If Scotland choose to go independent that us up to them. It's called democracy. Why is Scotland wanting to leave the Union of the UK ok but when England wants to leave the Union of the EU it's seen as something contemptible? Hypocrisy as usual.

",0,1,139,1144210000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 12:03,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
81,"There are 55 million people in England. There won't be a hard border in NI and Scotland voted in the EU referendum as part of the UK not as Scotland. Over 1 million Scots voted to leave, just 600,000 less than who voted remain. All votes were equal. 1/2",0,1,140,1144210000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 12:02,http://pbs.twimg.com/profile_images/951607908214636545/5vCDbtu1_normal.jpg,Steve Wickens,SteveWickens1,,,[],,,,,,,,
82,@SteveWickens1 @claireperrymp You do know that a border goes between two countries dont you? So how will it just apply to Scotland?,0,0,131,1144210000000000000,0.00E+00,0,Twitter Web App,https://mobile.twitter.com,27/06/19 11:50,http://pbs.twimg.com/profile_images/553753083654586368/-UZR6yQ3_normal.jpeg,Englebert Trump,EnglebertTrump,,SWADLINCOTE,[],,,,,,,,
